City,Latitude,Longitude,Score
Lake Kimberly,-8.7216025,-136.999060,11.09
Bestland,88.0489565,100.845382,27.73
South Jacob,-52.341175,21.763809,50.03
North Jennifer,-26.798792,101.696182,17.05
Port Herberthaven,21.715919,-174.290589,19.38
East Angelamouth,42.6465865,133.249080,73.88
Harveyshire,-71.736334,-66.027240,67.22
East Sandra,-28.033495,-119.712714,60.3
North Jessicastad,-65.5142365,-31.121075,17.55
East Sarah,89.332114,-133.594477,58.82
North Robertberg,-26.613103,11.195436,74.6
Powersside,32.2062065,-76.965261,12.74
Brianside,7.6408045,-71.047657,93.36
Smithburgh,15.3822415,-115.229728,85.55
Christinatown,-63.8042745,87.324034,88.1
Port Stevenhaven,87.4252845,86.885670,72.89
West Kennethville,-51.828085,37.206205,27.43
New Vanessa,-50.7352595,-75.747542,84.77
Dennischester,-71.6576775,-31.861972,2.31
Mistyton,7.0487545,-74.891969,96.98
North Jennifer,-30.5036945,-141.654269,67.77
South Andrewville,-87.858925,125.026946,61.45
Lake Jamesbury,-60.768975,56.059112,68.07
Shawtown,-52.8508925,-100.914764,88.31
North Anitaport,87.5460205,-64.885104,0.2
Gibsonfurt,-22.3324975,43.096646,42.71
Gibsonland,-82.5289365,-120.281916,67.31
Sarahberg,-52.2024105,-149.916252,65.0
New Peterton,43.226555,-157.901318,85.39
Lake Timothy,-35.5390575,133.589687,32.3
South Vanessa,40.276892,-74.207300,84.43
Millerville,-85.6961705,-8.119750,40.69
Brianport,69.2411365,104.679365,12.17
Port Kennethside,21.312574,144.599647,51.83
Baileytown,-81.9011815,-31.704668,49.56
Matthewtown,-1.930040,146.724865,51.73
North Meganside,70.7027715,122.385225,4.35
East Debbie,37.7249485,42.704074,72.12
South Tammy,38.0444115,-23.289431,4.7
Christopherstad,70.718392,-175.424484,91.84
Lake Sandra,-18.182515,-157.107178,53.24
Lake Patrick,55.0124275,79.149902,31.62
Gregoryland,-37.3688565,30.853123,39.19
New Joseshire,-71.630150,103.846006,33.47
Nathanielville,39.779383,-172.263980,88.01
Dakotabury,78.039965,41.220198,80.77
Lake Dale,73.898301,-134.408840,99.03
New Veronica,-40.9458295,46.989578,22.56
South Michaela,67.724319,-130.611156,68.95
Denniston,20.081989,-118.606747,95.78
Markberg,-12.812593,83.380042,91.7
Royfort,-11.577124,-114.739367,19.69
Port Kyle,33.9436925,-96.896341,32.92
Port Michellebury,15.7464645,-32.665470,6.28
Kingbury,11.1603615,-106.587407,62.53
Morganshire,33.0183395,161.763536,2.79
East Heathershire,46.825103,27.910045,43.19
South Kaitlynport,51.325125,169.514517,2.4
West Joseland,34.674368,12.731817,79.72
South Christianshire,43.4310865,-100.200182,93.51
West Samuelmouth,-82.952937,-18.149655,84.05
West Victormouth,81.0083635,-157.202545,24.72
Ramseyhaven,26.479021,84.691671,47.36
Jacquelineview,63.752341,-21.217417,95.88
South Michealview,55.985580,-64.151127,83.25
Jonesview,26.2736165,146.672913,82.16
Port Ericside,58.1960975,121.733810,51.97
West Jonathan,8.330757,173.501936,23.67
Michaelland,62.8007775,51.694196,7.29
East Lisa,1.6103045,-122.390630,60.0
Jacksonland,14.0078285,46.628315,43.85
Jennifershire,-34.2911345,81.772016,9.57
Kevinbury,-59.112080,36.876853,44.65
Lake Patrickberg,86.7438525,-46.080360,12.48
Williamshire,36.7159525,104.104272,97.45
Port Nicole,76.651301,178.090021,91.67
Port Rickyton,38.7101075,77.276349,37.74
East Markside,21.428346,57.377695,89.01
East Kenneth,-65.6876615,-71.941112,69.34
Nicoletown,-16.8300155,-115.719350,78.26
West Lauraberg,-38.230442,-119.539309,6.2
Nicolefurt,35.7629195,58.954545,80.24
Scottport,32.5963285,-57.812716,5.48
Petermouth,-86.6694625,142.499177,61.07
Lake Miranda,33.3792475,-125.637669,43.18
South Kevinshire,-25.1046215,151.980286,10.18
Lake Dorothymouth,-44.353212,68.578105,5.58
North Deborah,23.3672495,18.684656,5.22
South Scottfurt,48.2308825,112.164496,84.99
Trevinoview,49.1101445,32.753202,40.17
North Jasonfurt,-80.0852615,-140.865214,61.73
West Kathleenshire,58.623554,85.401897,41.11
Tracyport,6.6069795,-148.950105,86.46
Landryberg,-39.3363595,9.703936,78.75
Christinetown,-14.692857,90.280742,62.4
New Lindseybury,87.912860,84.542925,45.34
Jessicachester,56.040061,-123.047299,46.42
Davidtown,-69.7197505,-178.488956,42.81
Alexanderton,9.510344,144.888562,62.02
Schultzborough,21.8136815,167.228342,10.13
